country,position,number,name,captain,date_of_birth,height,club,club_country
China,Center,15,Zhou Qi,NA,1996/1/16,2.17,Xinjiang Flying Tigers,China
China,Center,31,Wang Zhelin,NA,1994/1/20,2.14,Fujian Sturgeons,China
China,Power Forward,11,Yi Jianlian,TRUE,1987/10/27,2.12,Guangdong Southern Tigers,China
China,Power Forward,20,Ren Junfei,NA,1990/2/4,2.03,Guangdong Southern Tigers,China
China,Point Guard,5,Fang Shuo,NA,1990/9/7,1.88,Beijing Ducks,China
China,Point Guard,24,Zhao Jiwei,NA,1995/8/25,1.85,Liaoning Flying Leopards,China
China,Small Forward,23,Abudushalamu Abudurexiti,NA,1996/5/20,2.03,Xinjiang Flying Tigers,China
China,Small Forward,9,Zhai Xiaochuan,NA,1993/3/24,2.05,Beijing Ducks,China
China,Shooting Guard,17,Sun Minghui,NA,1996/4/26,1.92,Zhejiang Lions,China
China,Shooting Guard,1,Zhao Rui,NA,1996/1/14,1.93,Guangdong Southern Tigers,China
China,Shooting Guard,6,Guo Ailun,NA,1993/11/14,1.92,Liaoning Flying Leopards,China
