Month,min,max,state
1,14.6,26,VIC
2,14.7,25.9,VIC
3,12.9,23.9,VIC
4,9.9,20.5,VIC
5,8.1,17.1,VIC
6,6.2,14.5,VIC
7,5.6,14.1,VIC
8,5.8,15.2,VIC
9,7.1,17.4,VIC
10,8.6,20,VIC
11,12.5,24.2,VIC
12,9.7,20,VIC
1,19.5,27,NSW
2,19.7,26.7,NSW
3,18,25.3,NSW
4,15,23,NSW
5,12,20.3,NSW
6,9.2,17.8,NSW
7,8.1,17.1,NSW
8,8.9,18.7,NSW
9,11.4,21.1,NSW
10,14,23,NSW
11,16,24.1,NSW
12,18.2,26,NSW
1,21.2,29.2,QLD
2,21,28.9,QLD
3,19.3,27.9,QLD
4,16.7,26,QLD
5,13.7,23.6,QLD
6,10.6,21.2,QLD
7,9.3,20.7,QLD
8,9.7,21.8,QLD
9,12.6,24.1,QLD
10,15.5,25.6,QLD
11,17.9,26.8,QLD
12,19.9,28.4,QLD
